msg_id,subject,sender,reason
19e0fd60817e5975,Your receipt from Apple.,no_reply@email.apple.com,no_total
19e045824b7a1798,Your receipt from Apple.,no_reply@email.apple.com,no_total
19dad25a3fd8878e,Your receipt from Apple.,no_reply@email.apple.com,no_total
19d90d77664c6081,Your receipt from Apple.,no_reply@email.apple.com,no_total
19d738acaee28ca8,Your receipt from Apple.,no_reply@email.apple.com,no_total
19d7513a9eba8dfe,Your receipt from Apple.,no_reply@email.apple.com,no_total
19d6c4c6b77e3cf0,Your receipt from Apple.,no_reply@email.apple.com,no_total
19d5561f0d2dbf87,Your receipt from Apple.,no_reply@email.apple.com,no_total
19cebcdfc742afa2,Your receipt from Apple.,no_reply@email.apple.com,no_total
19e39573121b2bfe,Action Required: Your payment for your HP Instant Ink service failed.,donotreply@instantink.hpsmart.com,subject_reject:action\s+required
19e271755aa543b0,Confirmation: Payment received!,no-reply@us-accounts.zip.co,no_total
19e272175ea8c087,Confirmation: Payment received!,no-reply@us-accounts.zip.co,no_total
19db35b280bf139e,Your receipt from DeeVid AI #2938-7997,invoice+statements+acct_1R128PCIbpbJqvH8@stripe.com,no_total
19d4b4201dd65e14,Your receipt from HeyGen Technology Inc. #2355-0428,invoice+statements+acct_1LNh3DDIvHNr5wfC@stripe.com,no_total
19d360b2c002e732,Your receipt from DeeVid AI #2173-8773,invoice+statements+acct_1R128PCIbpbJqvH8@stripe.com,no_total
19ca64b0ee9c2d3a,Your receipt from HeyGen Technology Inc. #2654-0670,invoice+statements+acct_1LNh3DDIvHNr5wfC@stripe.com,no_total
19c8383e6379c12a,Your receipt from DeeVid AI #2097-7174,invoice+statements+acct_1R128PCIbpbJqvH8@stripe.com,no_total
19c237068c5081d1,Your receipt from Pika #2300-6583,invoice+statements+acct_1NXwSEF4EIo0thd4@stripe.com,no_total
19bebff710c8e736,Your receipt from Lovable Labs Incorporated #2662-9947,invoice+statements+acct_1Nu5mUKvR4zlUMOU@stripe.com,no_total
19bebbd7e3c6e71e,Your receipt from HeyGen Technology Inc. #2154-1691,invoice+statements+acct_1LNh3DDIvHNr5wfC@stripe.com,no_total
19be3a67e530d6b3,Your receipt from DeeVid AI #2030-8451,invoice+statements+acct_1R128PCIbpbJqvH8@stripe.com,no_total
19be25d313f8bf91,Your receipt from Lovable Labs Incorporated #2668-3850,invoice+statements+acct_1Nu5mUKvR4zlUMOU@stripe.com,no_total
19be25c4e0236b94,Your receipt from Lovable Labs Incorporated #2987-4113,invoice+statements+acct_1Nu5mUKvR4zlUMOU@stripe.com,no_total
19bd9768d339d553,Your receipt from Eleven Labs Inc. #2426-8320-7682,invoice+statements+acct_1M07hSLmdOdiMXBs@stripe.com,no_total
19bd96b74f2c9eec,Your receipt from Lovable Labs Incorporated #2629-7134,invoice+statements+acct_1Nu5mUKvR4zlUMOU@stripe.com,no_total
198d70304cff12b9,Your receipt from Perfomante video ads UAB #2294-0039,invoice+statements+acct_1K7DM2CBIVAm2K6B@stripe.com,no_total
